ROS_Packages,ROS_Nodes,Publisher,Subscriber,Action_server,Action_client,Message_type
Motion_Planning,slam_node,/map,,,,aru
,,,/odom,,,nav_msgs/msg/Odometry
,,,/scan,,,sensor_msgs/msg/LaserScan
,nav_node,/cmd_vel,,,,geometry_msgs/msg/Twist
,,/amcl_pose,,,,geometry_msgs/msg/PoseWithCovarianceStamped
,,,/scan,,,sensor_msgs/msg/LaserScan
,,,/odom,,,nav_msgs/msg/Odometry
,,,/map,,,nav_msgs/msg/OccupancyGrid
,,,,/navigate_through_poses,,nav2_msgs/action/NavigateThroughPoses
,route_optimizer_node,/gui/status,,,,std_msgs/msg/String
,,,/store/sales_status,,,std_msgs/msg/Bool
,,,/customer/active_list,,,std_msgs/msg/String
,,,/inventory_status,,,std_msgs/msg/Bool
,,,,,/navigate_through_poses,nav2_msgs/action/NavigateThroughPoses
Perception,aruco_node,/item_detected,,,,std_msgs/msg/Bool
,,/cmd_vel,,,,geometry_msgs/msg/Twist
,,,/camera/image_raw,,,sensor_msgs/msg/Image
,,,/camera/camera_info,,,sensor_msgs/msg/CameraInfo
,,,/scan,,,sensor_msgs/msg/LaserScan
,ai_vision_node,/inventory_status,,,,std_msgs/msg/Bool
,,,/camera/image_raw,,,sensor_msgs/msg/Image
Interaction,gui_node,/cmd_vel,,,,geometry_msgs/msg/Twist
,,/customer/active_list,,,,std_msgs/msg/String
,,/store/sales_status,,,,std_msgs/msg/Bool
,,,/gui/status,,,std_msgs/msg/String
,,,/map,,,nav_msgs/msg/OccupancyGrid
,,,/inventory_status,,,std_msgs/msg/Bool
,,,/amcl_pose,,,geometry_msgs/msg/PoseWithCovarianceStamped
